X,Y,OBJECTID,Join_Count,TARGET_FID,Join_Count_1,Incident_No,Time_Begun,UCR_No,HPD_Beat,HPD_District,Offense,Address_Range,Premise_Type,X_Coord,Y_Coord,Zip_Code,Time_Frame,SNB_No,SNB_Name,Council_District,HPD_Division
-95.38358150079533,29.725148958025152,6440,1,6440,1,110339118,2018-08-29T21:30:00.000Z,7031,10H70,10,Auto Theft,1500-1599 OAKDALE,"Road, Street, or Sidewalk",3116127.2102,13828951.25699,77004,3,66,MUSEUM PARK,D,South Central Division
-95.399289073296814,29.80396335378321,6441,1,6441,1,110043318,2018-08-29T14:10:00.000Z,3004,2A30,2,Robbery,200-299 W 20TH,Strip Business Center Par,3110261.94619,13857443.6093,77008,3,15,GREATER HEIGHTS,C,Central Division
-95.590918170780085,29.736458445696105,6442,1,6442,1,107901118,2018-08-24T15:30:00.000Z,3034,20G40,20,Robbery,11900-11999 WESTHEIMER,Liquor Store,3050230.88182,13831085.74297,77077,3,18,BRIAR FOREST,G,Westside Division
-95.397791742984637,29.867459499144466,6443,1,6443,1,106041618,2018-08-17T07:45:00.000Z,6191,6B10,6,Theft,7300-7399 NORTHLINE,Apartment,3110025.50712,13880537.23116,77076,3,45,NORTHSIDE/NORTHLINE,H,North Division
-95.587284064359011,29.675058930422811,6444,1,6444,1,108884418,2018-08-26T17:00:00.000Z,6141,19G40,19,Theft,9500-9599 S KIRKWOOD,Grocery Store or Supermar,3052035.10247,13808802.17548,77099,3,25,ALIEF,F,Westside Division
-95.62538054297228,29.763120251516842,6445,1,6445,1,108803818,2018-08-23T12:00:00.000Z,6193,20G80,20,Theft,1300-1399 ELDRIDGE ,Apartment,3039019.03681,13840459.7074,77077,3,17,ELDRIDGE / WEST OAKS,G,Westside Division
-95.414127493366834,29.770469289588824,6446,1,6446,1,108656318,2018-08-24T23:30:00.000Z,6191,2A50,2,Theft,5200-5299 WASHINGTON,Bar or Night Club,3105931.65595,13845125.05011,77007,3,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,C,Central Division
-95.605750601800111,29.730340566674265,6447,1,6447,1,108682518,2018-08-26T11:25:00.000Z,3031,20G70,20,Robbery,3100-3199 S DAIRY ASHFORD,Convenience Store,3045590.31642,13828725.12618,77082,3,17,ELDRIDGE / WEST OAKS,F,Westside Division
-95.422878917711756,29.81315175292551,6448,1,6448,1,108628818,2018-08-26T06:50:00.000Z,4041,3B30,3,Aggravated Assault,1200-1299 N LOOP W,"Road, Street, or Sidewalk",3102681.93548,13860553.77294,77018,3,12,CENTRAL NORTHWEST,C,North Division
-95.328930069633842,29.830484916954426,6449,1,6449,1,108557518,2018-08-26T00:01:00.000Z,6191,8C10,8,Theft,7800-7899 HIRSCH,Residence or House,3132262.33594,13867776.79929,77016,3,48,TRINITY / HOUSTON GARDENS,B,Northeast Division
-95.417103778628174,29.691067024673185,6450,1,6450,1,108410918,2018-08-25T13:40:00.000Z,6131,15E40,15,Theft,8500-8599 MAIN,Grocery Store or Supermar,3105872.30098,13816236.42716,77025,3,32,BRAESWOOD,K,Southwest Division
-95.181736932858726,30.050833279807172,6451,1,6451,1,108403518,2018-08-25T15:00:00.000Z,6033,24C30,24,Theft,4500-4599 KINGWOOD,"Daycare, Child Care, or K",3176291.8448,13949359.10335,77345,3,43,KINGWOOD AREA,E,Kingwood Division
-95.643713008495666,29.755876283432691,6452,1,6452,1,108464718,2018-08-25T16:30:00.000Z,5031,20G80,20,Burglary,14600-14699 BRIAR FOREST,Apartment,3033280.69158,13837659.27821,77077,3,17,ELDRIDGE / WEST OAKS,G,Westside Division
-95.443138860770631,29.689389093776491,6453,1,6453,1,108332718,2018-08-21T10:00:00.000Z,6031,15E30,15,Theft,4000-4099 S BRAESWOOD,Apartment,3097628.72533,13815374.28942,77025,3,32,BRAESWOOD,K,Southwest Division
-95.342849557911521,29.639317092630758,6454,1,6454,1,108210818,2018-08-25T08:40:00.000Z,6191,14D40,14,Theft,5300-5399 GRACE POINT,Residence or House,3130024.61673,13798157.61449,77048,3,76,SOUTH ACRES / CRESTMONT PARK,D,Southeast Division
